Cliente,Idade,Plano,Tempo_Contrato_Meses,Mensalidade,Reclamacoes,Chamados_Suporte,Regiao,Churn,Faixa_Etaria,Faixa_Contrato
Cliente 0347,47,Básico,3,65.72,0,3,Centro-Oeste,Sim,46-55,0-12
Cliente 0622,64,Standard,55,117.15,0,5,Norte,Não,56+,49+
Cliente 0959,60,Básico,24,80.94,2,11,Nordeste,Sim,56+,13-24
Cliente 0201,25,Básico,32,68.83,7,2,Sudeste,Sim,18-25,25-36
Cliente 0848,53,Standard,33,103.0,5,3,Nordeste,Não,46-55,25-36
Cliente 1000,50,Standard,46,101.04,8,8,Sudeste,Sim,46-55,37-48
Cliente 0897,55,Básico,18,78.15,7,4,Nordeste,Sim,46-55,13-24
Cliente 0757,65,Standard,18,118.82,1,0,Sul,Não,56+,13-24
Cliente 0999,69,Básico,58,72.49,3,1,Norte,Não,56+,49+
Cliente 0697,40,Standard,30,101.06,1,7,Sul,Não,36-45,25-36
Cliente 0676,68,Standard,11,109.14,1,1,Nordeste,Não,56+,0-12
Cliente 0262,42,Standard,22,101.34,4,3,Sudeste,Não,36-45,13-24
Cliente 0790,61,Premium,26,155.81,1,4,Norte,Não,56+,25-36
Cliente 0165,35,Básico,16,62.03,2,5,Sul,Sim,26-35,13-24
Cliente 0927,50,Premium,30,164.67,0,6,Nordeste,Sim,46-55,25-36
Cliente 0345,35,Premium,4,159.08,1,2,Centro-Oeste,Não,26-35,0-12
Cliente 0745,26,Standard,22,119.43,1,8,Sul,Não,26-35,13-24
Cliente 0380,35,Standard,8,104.81,0,2,Sudeste,Não,26-35,0-12
Cliente 0686,60,Básico,44,78.9,1,3,Centro-Oeste,Sim,56+,37-48
Cliente 0352,41,Básico,14,82.59,1,0,Nordeste,Sim,36-45,13-24
Cliente 0197,34,Básico,45,68.27,2,3,Sudeste,Não,26-35,37-48
Cliente 0600,61,Premium,4,167.53,0,0,Sudeste,Não,56+,0-12
Cliente 0189,24,Básico,43,69.05,3,2,Centro-Oeste,Sim,18-25,37-48
Cliente 0880,68,Standard,51,107.71,1,1,Sudeste,Sim,56+,49+
Cliente 0135,57,Básico,4,77.71,0,2,Sul,Sim,56+,0-12
Cliente 0104,42,Standard,24,111.54,2,0,Nordeste,Não,36-45,13-24
Cliente 0940,33,Standard,5,116.78,2,0,Sul,Sim,26-35,0-12
Cliente 0638,24,Standard,25,121.7,2,3,Norte,Não,18-25,25-36
Cliente 0904,20,Standard,42,107.57,0,3,Nordeste,Não,18-25,37-48
Cliente 0547,40,Standard,11,123.48,3,0,Sul,Sim,36-45,0-12
Cliente 0173,65,Standard,57,114.26,0,1,Nordeste,Não,56+,49+
Cliente 0299,26,Básico,43,65.84,1,1,Sudeste,Sim,26-35,37-48
Cliente 0710,40,Standard,35,102.64,3,0,Nordeste,Não,36-45,25-36
Cliente 0240,61,Premium,53,152.34,2,1,Centro-Oeste,Não,56+,49+
Cliente 0253,18,Standard,39,112.75,1,12,Nordeste,Sim,18-25,37-48
Cliente 0457,42,Standard,26,118.87,0,1,Sudeste,Sim,36-45,25-36
Cliente 0934,28,Premium,46,162.41,7,3,Sudeste,Sim,26-35,37-48
Cliente 0971,65,Básico,35,82.69,2,0,Sudeste,Sim,56+,25-36
Cliente 0379,58,Básico,53,80.7,1,4,Sudeste,Não,56+,49+
Cliente 0321,24,Básico,29,79.11,5,3,Norte,Sim,18-25,25-36
Cliente 0828,20,Básico,48,74.5,8,1,Centro-Oeste,Sim,18-25,37-48
Cliente 0146,68,Standard,2,112.34,2,3,Sudeste,Sim,56+,0-12
Cliente 0771,37,Standard,27,102.49,1,5,Sudeste,Sim,36-45,25-36
Cliente 0400,65,Standard,21,123.9,1,0,Sul,Não,56+,13-24
Cliente 0389,34,Premium,30,163.57,2,2,Sudeste,Sim,26-35,25-36
Cliente 0319,50,Standard,58,102.01,8,1,Nordeste,Sim,46-55,49+
Cliente 0464,48,Básico,32,66.61,2,0,Sul,Sim,46-55,25-36
Cliente 0569,20,Standard,55,119.53,5,1,Sudeste,Não,18-25,49+
Cliente 0859,56,Básico,42,62.11,0,5,Sudeste,Não,56+,37-48
Cliente 0591,70,Premium,54,151.1,0,10,Sudeste,Sim,56+,49+
Cliente 0454,46,Básico,1,70.5,1,1,Sul,Não,46-55,0-12
Cliente 0588,31,Standard,11,115.21,2,0,Sudeste,Não,26-35,0-12
Cliente 0418,31,Básico,15,71.13,2,1,Sudeste,Sim,26-35,13-24
Cliente 0292,50,Standard,1,124.8,1,0,Nordeste,Não,46-55,0-12
Cliente 0772,41,Básico,44,72.3,1,3,Centro-Oeste,Não,36-45,37-48
Cliente 0865,52,Premium,38,154.75,2,3,Centro-Oeste,Não,46-55,37-48
Cliente 0250,54,Básico,26,61.66,0,4,Sudeste,Não,46-55,25-36
Cliente 0922,47,Standard,36,112.77,4,0,Sudeste,Não,46-55,25-36
Cliente 0542,36,Premium,39,174.45,0,0,Sul,Não,36-45,37-48
Cliente 0471,49,Básico,26,74.62,3,0,Sudeste,Sim,46-55,25-36
Cliente 0006,38,Básico,58,79.13,1,3,Sudeste,Não,36-45,49+
Cliente 0947,69,Standard,6,115.05,1,1,Sudeste,Sim,56+,0-12
Cliente 0651,63,Standard,47,114.34,4,1,Norte,Não,56+,37-48
Cliente 0811,45,Standard,40,109.04,0,0,Sudeste,Não,36-45,37-48
Cliente 0042,33,Standard,57,121.22,2,7,Centro-Oeste,Sim,26-35,49+
Cliente 0694,46,Básico,51,66.16,0,2,Nordeste,Não,46-55,49+
Cliente 0448,34,Básico,15,61.37,0,4,Centro-Oeste,Não,26-35,13-24
Cliente 0183,40,Básico,13,64.84,0,4,Sudeste,Não,36-45,13-24
Cliente 0483,22,Básico,47,83.71,0,1,Sudeste,Não,18-25,37-48
Cliente 0157,62,Premium,37,154.0,4,2,Centro-Oeste,Sim,56+,37-48
Cliente 0349,64,Premium,51,151.21,7,1,Sudeste,Sim,56+,49+
Cliente 0624,61,Standard,49,108.36,1,4,Sudeste,Não,56+,49+
Cliente 0354,45,Standard,4,117.34,3,0,Sudeste,Não,36-45,0-12
Cliente 0817,55,Nao informado,25,102.3,1,2,Norte,Não,46-55,25-36
Cliente 0867,32,Premium,3,172.73,0,1,Sudeste,Sim,26-35,0-12
Cliente 0115,53,Básico,16,84.03,2,11,Norte,Não,46-55,13-24
Cliente 0855,47,Premium,41,150.07,3,0,Nordeste,Sim,46-55,37-48
Cliente 0230,50,Básico,39,83.68,3,0,Nordeste,Não,46-55,37-48
Cliente 0336,28,Standard,25,101.31,0,3,Sudeste,Sim,26-35,25-36
Cliente 0036,28,Premium,23,160.52,2,1,Nordeste,Sim,26-35,13-24
Cliente 0851,56,Standard,43,108.38,4,2,Sudeste,Sim,56+,37-48
Cliente 0019,19,Básico,56,78.36,2,3,Sudeste,Sim,18-25,49+
Cliente 0997,58,Standard,24,100.12,1,1,Sudeste,Não,56+,13-24
Cliente 0836,39,Standard,2,115.37,0,0,Nordeste,Sim,36-45,0-12
Cliente 0049,27,Básico,28,83.32,2,0,Nordeste,Não,26-35,25-36
Cliente 0834,28,Básico,56,71.1,4,12,Sul,Não,26-35,49+
Cliente 0458,63,Básico,45,81.72,1,1,Sudeste,Não,56+,37-48
Cliente 0168,60,Standard,30,101.68,0,3,Sudeste,Não,56+,25-36
Cliente 0148,22,Standard,31,108.14,0,0,Sul,Não,18-25,25-36
Cliente 0942,34,Premium,5,166.85,0,1,Sudeste,Não,26-35,0-12
Cliente 0614,64,Standard,25,121.32,2,2,Sul,Não,56+,25-36
Cliente 0944,35,Básico,31,72.65,2,1,Nordeste,Não,26-35,25-36
Cliente 0261,45,Básico,26,74.75,1,4,Nordeste,Não,36-45,25-36
Cliente 0432,26,Básico,15,73.45,1,2,Nordeste,Não,26-35,13-24
Cliente 0103,67,Básico,59,72.91,5,1,Sudeste,Sim,56+,49+
Cliente 0053,68,Premium,58,169.09,4,5,Centro-Oeste,Sim,56+,49+
Cliente 0139,47,Standard,5,116.04,0,1,Norte,Não,46-55,0-12
Cliente 0005,20,Standard,22,112.94,1,4,Sudeste,Não,18-25,13-24
Cliente 0929,67,Standard,6,121.53,4,0,Sudeste,Sim,56+,0-12
Cliente 0463,21,Básico,53,82.48,3,5,Nordeste,Não,18-25,49+
Cliente 0695,18,Standard,9,114.36,7,5,Sul,Sim,18-25,0-12
Cliente 0486,57,Premium,49,157.4,2,4,Sudeste,Não,56+,49+
Cliente 0480,27,Premium,5,165.31,4,5,Centro-Oeste,Sim,26-35,0-12
Cliente 0227,58,Standard,23,106.26,1,6,Sudeste,Sim,56+,13-24
Cliente 0787,55,Básico,1,68.04,2,3,Sudeste,Sim,46-55,0-12
Cliente 0815,68,Premium,52,160.49,1,5,Sul,Não,56+,49+
Cliente 0500,53,Standard,54,115.27,0,3,Nordeste,Não,46-55,49+
Cliente 0268,46,Standard,21,122.41,2,0,Sul,Não,46-55,13-24
Cliente 0304,40,Standard,24,118.42,4,0,Sudeste,Não,36-45,13-24
Cliente 0938,51,Standard,31,122.01,0,1,Norte,Sim,46-55,25-36
Cliente 0267,32,Básico,27,61.76,4,1,Sudeste,Sim,26-35,25-36
Cliente 0058,19,Básico,2,79.01,5,3,Sudeste,Sim,18-25,0-12
Cliente 0568,31,Básico,14,67.08,8,8,Centro-Oeste,Sim,26-35,13-24
Cliente 0953,64,Standard,5,119.55,0,0,Sudeste,Sim,56+,0-12
Cliente 0337,25,Básico,15,65.89,1,0,Sul,Não,18-25,13-24
Cliente 0056,46,Premium,47,164.81,3,0,Sudeste,Sim,46-55,37-48
Cliente 0522,65,Premium,1,169.91,0,1,Sudeste,Sim,56+,0-12
Cliente 0029,29,Premium,25,159.11,5,0,Centro-Oeste,Não,26-35,25-36
Cliente 0928,19,Standard,51,109.96,0,3,Sudeste,Não,18-25,49+
Cliente 0862,18,Premium,5,170.07,2,3,Nordeste,Não,18-25,0-12
Cliente 0702,63,Standard,37,114.85,0,2,Centro-Oeste,Não,56+,37-48
Cliente 0247,60,Básico,24,72.46,0,2,Sul,Não,56+,13-24
Cliente 0804,30,Básico,58,72.86,0,0,Centro-Oeste,Sim,26-35,49+
Cliente 0172,32,Básico,3,69.01,4,0,Sul,Não,26-35,0-12
Cliente 0055,18,Premium,33,168.87,2,0,Sudeste,Não,18-25,25-36
Cliente 0118,47,Premium,8,167.31,1,1,Sul,Não,46-55,0-12
Cliente 0073,61,Básico,3,65.3,2,2,Sudeste,Não,56+,0-12
Cliente 0273,31,Premium,28,161.24,0,1,Sudeste,Não,26-35,25-36
Cliente 0905,65,Standard,49,120.78,0,1,Norte,Não,56+,49+
Cliente 0210,52,Premium,31,157.69,0,1,Sudeste,Não,46-55,25-36
Cliente 0888,63,Básico,19,65.0,0,9,Sul,Não,56+,13-24
Cliente 0032,50,Standard,60,106.78,6,0,Norte,Não,46-55,49+
Cliente 0499,64,Standard,22,108.95,1,2,Sudeste,Não,56+,13-24
Cliente 0373,45,Básico,44,66.06,0,0,Sudeste,Sim,36-45,37-48
Cliente 0037,51,Básico,48,83.07,4,1,Sul,Sim,46-55,37-48
Cliente 0163,35,Standard,36,114.69,2,3,Nordeste,Não,26-35,25-36
Cliente 0222,67,Básico,25,76.18,2,0,Sudeste,Não,56+,25-36
Cliente 0765,26,Premium,11,158.85,2,6,Sul,Não,26-35,0-12
Cliente 0329,20,Standard,20,116.99,0,3,Sudeste,Não,18-25,13-24
Cliente 0902,51,Standard,14,108.84,1,1,Sudeste,Não,46-55,13-24
Cliente 0823,21,Standard,17,116.99,2,9,Nordeste,Não,18-25,13-24
Cliente 0634,47,Premium,13,165.31,0,2,Sudeste,Não,46-55,13-24
Cliente 0598,37,Básico,32,68.37,0,5,Nordeste,Não,36-45,25-36
Cliente 0881,69,Básico,59,71.87,1,8,Sudeste,Sim,56+,49+
Cliente 0101,47,Premium,59,171.69,4,1,Sudeste,Não,46-55,49+
Cliente 0185,24,Nao informado,36,66.41,2,0,Sudeste,Sim,18-25,25-36
Cliente 0654,44,Standard,56,124.09,4,1,Sudeste,Não,36-45,49+
Cliente 0909,39,Standard,53,113.8,4,0,Sudeste,Sim,36-45,49+
Cliente 0204,20,Standard,1,112.63,1,0,Nordeste,Sim,18-25,0-12
Cliente 0730,35,Básico,54,75.27,0,0,Nordeste,Não,26-35,49+
Cliente 0699,23,Básico,45,80.23,0,7,Sudeste,Sim,18-25,37-48
Cliente 0994,57,Básico,36,83.85,0,3,Centro-Oeste,Não,56+,25-36
Cliente 0683,39,Standard,53,101.81,0,0,Norte,Não,36-45,49+
Cliente 0937,25,Básico,51,70.3,0,2,Sudeste,Não,18-25,49+
Cliente 0186,70,Premium,37,171.24,1,8,Sul,Não,56+,37-48
Cliente 0775,58,Standard,13,115.91,2,0,Sudeste,Não,56+,13-24
Cliente 0657,20,Standard,58,103.76,0,0,Nordeste,Não,18-25,49+
Cliente 0396,56,Standard,2,102.42,1,1,Sudeste,Não,56+,0-12
Cliente 0079,66,Básico,12,82.51,8,2,Nordeste,Sim,56+,0-12
Cliente 0698,25,Standard,36,105.06,0,4,Norte,Não,18-25,25-36
Cliente 0447,58,Standard,5,117.63,6,2,Sudeste,Sim,56+,0-12
Cliente 0339,56,Premium,39,161.16,0,0,Norte,Não,56+,37-48
Cliente 0196,56,Premium,3,152.8,2,6,Nordeste,Não,56+,0-12
Cliente 0080,26,Standard,46,102.39,6,7,Sudeste,Não,26-35,37-48
Cliente 0178,29,Básico,19,79.55,1,1,Nordeste,Não,26-35,13-24
Cliente 0374,23,Básico,55,76.51,1,1,Sudeste,Sim,18-25,49+
Cliente 0728,59,Standard,52,117.18,0,1,Sudeste,Não,56+,49+
Cliente 0737,40,Básico,41,60.98,4,6,Sudeste,Sim,36-45,37-48
Cliente 0317,70,Básico,26,76.24,0,3,Sul,Não,56+,25-36
Cliente 0525,70,Standard,46,120.78,1,12,Nordeste,Sim,56+,37-48
Cliente 0621,39,Básico,40,69.09,3,1,Sudeste,Sim,36-45,37-48
Cliente 0390,66,Premium,22,171.81,4,3,Sudeste,Sim,56+,13-24
Cliente 0567,34,Standard,24,102.51,1,1,Sudeste,Não,26-35,13-24
Cliente 0715,31,Básico,15,65.4,3,0,Sul,Sim,26-35,13-24
Cliente 0270,35,Premium,45,153.5,0,0,Sudeste,Não,26-35,37-48
Cliente 0092,50,Básico,46,72.39,3,0,Nordeste,Não,46-55,37-48
Cliente 0171,36,Básico,50,83.76,0,6,Sul,Não,36-45,49+
Cliente 0700,40,Standard,52,101.61,5,1,Sudeste,Não,36-45,49+
Cliente 0091,61,Básico,14,79.78,0,0,Sudeste,Não,56+,13-24
Cliente 0076,60,Standard,30,122.66,0,4,Sudeste,Sim,56+,25-36
Cliente 0328,28,Premium,33,163.77,0,5,Sudeste,Não,26-35,25-36
Cliente 0975,61,Básico,60,83.36,5,1,Centro-Oeste,Não,56+,49+
Cliente 0873,34,Básico,15,76.7,3,4,Nordeste,Sim,26-35,13-24
Cliente 0899,32,Premium,37,157.35,2,2,Sul,Sim,26-35,37-48
Cliente 0546,63,Standard,37,114.7,0,0,Sudeste,Não,56+,37-48
Cliente 0368,39,Básico,30,73.65,2,0,Sudeste,Sim,36-45,25-36
Cliente 0098,48,Básico,35,78.75,0,1,Nordeste,Não,46-55,25-36
Cliente 0903,29,Básico,41,66.16,3,2,Centro-Oeste,Não,26-35,37-48
Cliente 0311,61,Premium,18,160.4,2,0,Sudeste,Não,56+,13-24
Cliente 0887,29,Básico,40,65.42,2,2,Sudeste,Sim,26-35,37-48
Cliente 0792,55,Básico,7,66.24,2,12,Sul,Sim,46-55,0-12
Cliente 0276,22,Básico,31,81.53,2,3,Sudeste,Não,18-25,25-36
Cliente 0714,70,Básico,26,81.72,1,0,Sudeste,Não,56+,25-36
Cliente 0799,66,Standard,14,120.1,2,0,Sul,Não,56+,13-24
Cliente 0852,64,Básico,3,74.16,0,4,Centro-Oeste,Sim,56+,0-12
Cliente 0582,61,Básico,22,84.58,8,1,Sul,Sim,56+,13-24
Cliente 0923,36,Básico,5,66.16,2,0,Nordeste,Sim,36-45,0-12
Cliente 0280,31,Standard,52,105.07,2,2,Sul,Não,26-35,49+
Cliente 0633,41,Standard,31,123.54,0,9,Sudeste,Não,36-45,25-36
Cliente 0327,31,Básico,20,73.46,1,6,Centro-Oeste,Não,26-35,13-24
Cliente 0014,42,Básico,45,75.78,0,1,Sul,Sim,36-45,37-48
Cliente 0796,29,Standard,4,107.09,7,8,Sudeste,Não,26-35,0-12
Cliente 0377,29,Básico,12,73.86,2,1,Sudeste,Sim,26-35,0-12
Cliente 0438,46,Standard,9,109.83,3,0,Norte,Sim,46-55,0-12
Cliente 0075,53,Básico,55,83.03,4,2,Nordeste,Não,46-55,49+
Cliente 0385,19,Básico,22,66.46,2,8,Sudeste,Sim,18-25,13-24
Cliente 0281,64,Standard,53,123.04,2,4,Sul,Não,56+,49+
Cliente 0773,63,Básico,33,72.41,0,9,Centro-Oeste,Não,56+,25-36
Cliente 0237,66,Básico,57,76.35,2,4,Sudeste,Não,56+,49+
Cliente 0060,34,Básico,17,70.17,2,2,Sudeste,Sim,26-35,13-24
Cliente 0726,38,Básico,38,80.31,2,2,Sudeste,Não,36-45,37-48
Cliente 0512,40,Premium,47,156.92,2,2,Sudeste,Não,36-45,37-48
Cliente 0398,61,Standard,27,101.5,0,2,Sudeste,Não,56+,25-36
Cliente 0152,34,Básico,24,84.17,0,2,Centro-Oeste,Não,26-35,13-24
Cliente 0814,44,Básico,35,78.04,0,2,Centro-Oeste,Sim,36-45,25-36
Cliente 0599,45,Standard,24,115.03,5,1,Centro-Oeste,Não,36-45,13-24
Cliente 0012,18,Básico,13,60.43,3,3,Sul,Não,18-25,13-24
Cliente 0755,33,Básico,6,77.73,3,1,Sudeste,Sim,26-35,0-12
Cliente 0318,56,Standard,29,102.85,4,4,Sudeste,Sim,56+,25-36
Cliente 0228,67,Premium,44,150.34,3,1,Nordeste,Sim,56+,37-48
Cliente 0793,24,Premium,39,164.02,1,0,Norte,Sim,18-25,37-48
Cliente 0809,62,Básico,48,78.04,0,0,Sudeste,Não,56+,37-48
Cliente 0810,51,Básico,2,80.63,1,2,Sudeste,Não,46-55,0-12
Cliente 0484,31,Básico,23,79.7,2,3,Sudeste,Não,26-35,13-24
Cliente 0470,40,Standard,44,105.8,1,9,Sudeste,Não,36-45,37-48
Cliente 0722,66,Standard,20,111.48,0,1,Sudeste,Sim,56+,13-24
Cliente 0924,20,Standard,24,102.06,2,1,Sudeste,Não,18-25,13-24
Cliente 0445,20,Premium,35,161.76,1,0,Sudeste,Não,18-25,25-36
Cliente 0832,32,Standard,15,113.69,0,5,Nordeste,Não,26-35,13-24
Cliente 0821,62,Premium,23,164.09,2,12,Centro-Oeste,Sim,56+,13-24
Cliente 0295,54,Standard,50,107.02,1,0,Sudeste,Sim,46-55,49+
Cliente 0286,51,Básico,13,64.55,0,0,Nordeste,Não,46-55,13-24
Cliente 0275,66,Básico,16,66.67,6,7,Sul,Sim,56+,13-24
Cliente 0978,23,Básico,27,77.98,0,3,Sul,Não,18-25,25-36
Cliente 0581,26,Básico,2,60.77,0,2,Sul,Não,26-35,0-12
Cliente 0618,19,Básico,56,82.42,3,1,Nordeste,Não,18-25,49+
Cliente 0370,65,Básico,5,74.8,3,2,Centro-Oeste,Não,56+,0-12
Cliente 0108,20,Básico,6,64.27,1,0,Sul,Sim,18-25,0-12
Cliente 0528,45,Básico,23,63.98,1,1,Sudeste,Não,36-45,13-24
Cliente 0805,26,Standard,18,116.48,2,1,Norte,Não,26-35,13-24
Cliente 0671,19,Básico,55,71.55,3,1,Sudeste,Sim,18-25,49+
Cliente 0344,57,Premium,39,164.02,1,0,Sudeste,Não,56+,37-48
Cliente 0898,38,Premium,41,168.34,2,4,Sudeste,Não,36-45,37-48
Cliente 0829,64,Básico,24,72.21,2,4,Sudeste,Não,56+,13-24
Cliente 0300,29,Básico,14,63.69,0,1,Sul,Não,26-35,13-24
Cliente 0870,24,Básico,38,65.2,6,8,Sul,Sim,18-25,37-48
Cliente 0860,65,Standard,40,116.56,2,2,Centro-Oeste,Não,56+,37-48
Cliente 0677,37,Básico,53,66.64,1,0,Sudeste,Não,36-45,49+
Cliente 0798,54,Premium,15,173.89,1,0,Centro-Oeste,Não,46-55,13-24
Cliente 0963,24,Standard,58,113.32,0,1,Norte,Não,18-25,49+
Cliente 0315,40,Básico,24,66.59,3,2,Norte,Sim,36-45,13-24
Cliente 0364,19,Premium,35,165.78,3,12,Sudeste,Sim,18-25,25-36
Cliente 0642,35,Standard,49,119.74,0,0,Sul,Não,26-35,49+
Cliente 0238,68,Básico,46,75.23,4,6,Sudeste,Sim,56+,37-48
Cliente 0777,22,Básico,46,75.09,1,0,Norte,Sim,18-25,37-48
Cliente 0554,57,Premium,21,167.17,1,2,Centro-Oeste,Não,56+,13-24
Cliente 0949,60,Premium,43,150.76,0,1,Sudeste,Não,56+,37-48
Cliente 0920,18,Standard,3,119.85,1,0,Sudeste,Não,18-25,0-12
Cliente 0893,44,Standard,44,114.27,3,1,Sudeste,Sim,36-45,37-48
Cliente 0877,34,Standard,42,117.19,8,0,Sudeste,Sim,26-35,37-48
Cliente 0729,63,Premium,29,171.05,4,3,Sudeste,Sim,56+,25-36
Cliente 0241,23,Básico,50,74.25,0,10,Nordeste,Sim,18-25,49+
Cliente 0562,62,Standard,32,111.85,1,0,Nordeste,Não,56+,25-36
Cliente 0604,30,Standard,6,124.75,5,0,Nordeste,Não,26-35,0-12
Cliente 0422,45,Básico,12,65.62,2,4,Nordeste,Não,36-45,0-12
Cliente 0592,45,Básico,21,83.14,0,0,Sul,Não,36-45,13-24
Cliente 0179,68,Premium,35,161.4,0,0,Nordeste,Não,56+,25-36
Cliente 0841,51,Básico,57,80.38,8,7,Sul,Não,46-55,49+
Cliente 0244,28,Standard,37,104.99,0,0,Centro-Oeste,Sim,26-35,37-48
Cliente 0878,44,Standard,56,116.18,3,0,Sudeste,Não,36-45,49+
Cliente 0203,46,Premium,12,162.78,4,0,Nordeste,Sim,46-55,0-12
Cliente 0301,44,Básico,32,64.74,1,3,Sul,Sim,36-45,25-36
Cliente 0808,65,Básico,55,65.82,0,2,Sudeste,Sim,56+,49+
Cliente 0231,32,Standard,32,104.54,0,0,Sudeste,Não,26-35,25-36
Cliente 0307,20,Básico,50,83.81,4,0,Sudeste,Não,18-25,49+
Cliente 0167,51,Básico,28,79.21,2,0,Sul,Sim,46-55,25-36
Cliente 0641,33,Standard,27,101.88,0,3,Nordeste,Não,26-35,25-36
Cliente 0685,43,Standard,26,114.26,0,4,Sul,Não,36-45,25-36
Cliente 0264,33,Básico,22,74.67,1,0,Centro-Oeste,Não,26-35,13-24
Cliente 0679,62,Premium,45,162.65,4,0,Nordeste,Não,56+,37-48
Cliente 0233,21,Standard,41,121.92,5,2,Sul,Sim,18-25,37-48
Cliente 0151,33,Básico,56,84.16,3,1,Centro-Oeste,Sim,26-35,49+
Cliente 0479,50,Premium,11,156.95,3,7,Centro-Oeste,Sim,46-55,0-12
Cliente 0133,60,Standard,57,104.75,4,0,Sudeste,Sim,56+,49+
Cliente 0010,43,Standard,47,120.5,0,0,Sudeste,Não,36-45,37-48
Cliente 0255,27,Standard,33,101.26,3,3,Sudeste,Não,26-35,25-36
Cliente 0955,51,Premium,8,166.62,3,1,Centro-Oeste,Sim,46-55,0-12
Cliente 0427,70,Básico,45,79.81,0,2,Nordeste,Não,56+,37-48
Cliente 0587,62,Premium,33,163.77,0,1,Sudeste,Não,56+,25-36
Cliente 0083,51,Standard,10,109.13,0,0,Sudeste,Não,46-55,0-12
Cliente 0065,28,Standard,25,120.6,0,0,Sudeste,Não,26-35,25-36
Cliente 0617,24,Básico,4,83.22,2,11,Nordeste,Sim,18-25,0-12
Cliente 0375,70,Básico,34,69.36,8,4,Centro-Oeste,Sim,56+,25-36
Cliente 0376,60,Standard,51,116.95,1,0,Norte,Não,56+,49+
Cliente 0601,61,Standard,20,100.26,0,5,Sul,Não,56+,13-24
Cliente 0459,30,Básico,54,65.79,0,0,Sul,Não,26-35,49+
Cliente 0120,41,Premium,29,159.58,0,0,Sudeste,Não,36-45,25-36
Cliente 0416,51,Premium,54,153.23,1,0,Sul,Não,46-55,49+
Cliente 0549,56,Básico,26,80.34,2,1,Sul,Não,56+,25-36
Cliente 0670,27,Standard,19,109.15,7,4,Sul,Sim,26-35,13-24
Cliente 0524,44,Standard,42,111.78,2,4,Nordeste,Não,36-45,37-48
Cliente 0111,28,Premium,10,154.71,0,3,Sudeste,Sim,26-35,0-12
Cliente 0723,61,Standard,59,120.19,2,1,Sudeste,Sim,56+,49+
